model,prompt_mode,language,pos,accuracy,n_items
gemini1.5flash,zero,kk,A,0.6333333333333333,30
gemini1.5flash,zero,kk,N,0.5862068965517241,232
gemini1.5flash,zero,kk,OVERALL,0.6019607843137255,510
gemini1.5flash,zero,kk,V,0.6129032258064516,248
gemini1.5flash,zero,en,A,0.6,30
gemini1.5flash,zero,en,N,0.6120689655172413,232
gemini1.5flash,zero,en,OVERALL,0.615686274509804,510
gemini1.5flash,zero,en,V,0.6209677419354839,248
gemini1.5flash,few,kk,A,0.7,30
gemini1.5flash,few,kk,N,0.6681034482758621,232
gemini1.5flash,few,kk,OVERALL,0.6627450980392157,510
gemini1.5flash,few,kk,V,0.6532258064516129,248
gemini1.5flash,few,en,A,0.8333333333333334,30
gemini1.5flash,few,en,N,0.75,232
gemini1.5flash,few,en,OVERALL,0.7627450980392156,510
gemini1.5flash,few,en,V,0.7661290322580645,248
gemini1.5pro,zero,kk,A,0.7,30
gemini1.5pro,zero,kk,N,0.7025862068965517,232
gemini1.5pro,zero,kk,OVERALL,0.6882352941176471,510
gemini1.5pro,zero,kk,V,0.6733870967741935,248
gemini1.5pro,zero,en,A,0.6666666666666666,30
gemini1.5pro,zero,en,N,0.6681034482758621,232
gemini1.5pro,zero,en,OVERALL,0.6666666666666666,510
gemini1.5pro,zero,en,V,0.6653225806451613,248
gemini1.5pro,few,kk,A,0.8,30
gemini1.5pro,few,kk,N,0.7887931034482759,232
gemini1.5pro,few,kk,OVERALL,0.7588235294117647,510
gemini1.5pro,few,kk,V,0.7258064516129032,248
gemini1.5pro,few,en,A,0.7666666666666667,30
gemini1.5pro,few,en,N,0.8017241379310345,232
gemini1.5pro,few,en,OVERALL,0.7705882352941177,510
gemini1.5pro,few,en,V,0.7419354838709677,248
gpt3.5turbo,zero,kk,A,0.5333333333333333,30
gpt3.5turbo,zero,kk,N,0.5172413793103449,232
gpt3.5turbo,zero,kk,OVERALL,0.5333333333333333,510
gpt3.5turbo,zero,kk,V,0.5483870967741935,248
gpt3.5turbo,zero,en,A,0.5,30
gpt3.5turbo,zero,en,N,0.47844827586206895,232
gpt3.5turbo,zero,en,OVERALL,0.48823529411764705,510
gpt3.5turbo,zero,en,V,0.4959677419354839,248
gpt3.5turbo,few,kk,A,0.43333333333333335,30
gpt3.5turbo,few,kk,N,0.5043103448275862,232
gpt3.5turbo,few,kk,OVERALL,0.5274509803921569,510
gpt3.5turbo,few,kk,V,0.5604838709677419,248
gpt3.5turbo,few,en,A,0.5333333333333333,30
gpt3.5turbo,few,en,N,0.5689655172413793,232
gpt3.5turbo,few,en,OVERALL,0.5313725490196078,510
gpt3.5turbo,few,en,V,0.4959677419354839,248
gpt4o,zero,kk,A,0.6666666666666666,30
gpt4o,zero,kk,N,0.6422413793103449,232
gpt4o,zero,kk,OVERALL,0.6392156862745098,510
gpt4o,zero,kk,V,0.6330645161290323,248
gpt4o,zero,en,A,0.6666666666666666,30
gpt4o,zero,en,N,0.6551724137931034,232
gpt4o,zero,en,OVERALL,0.6725490196078432,510
gpt4o,zero,en,V,0.6895161290322581,248
gpt4o,few,kk,A,0.6333333333333333,30
gpt4o,few,kk,N,0.7370689655172413,232
gpt4o,few,kk,OVERALL,0.7372549019607844,510
gpt4o,few,kk,V,0.75,248
gpt4o,few,en,A,0.7666666666666667,30
gpt4o,few,en,N,0.7543103448275862,232
gpt4o,few,en,OVERALL,0.7549019607843137,510
gpt4o,few,en,V,0.7540322580645161,248
llama3,zero,kk,A,0.5666666666666667,30
llama3,zero,kk,N,0.5129310344827587,232
llama3,zero,kk,OVERALL,0.5254901960784314,510
llama3,zero,kk,V,0.532258064516129,248
llama3,zero,en,A,0.5666666666666667,30
llama3,zero,en,N,0.5387931034482759,232
llama3,zero,en,OVERALL,0.5450980392156862,510
llama3,zero,en,V,0.5483870967741935,248
llama3,few,kk,A,0.6666666666666666,30
llama3,few,kk,N,0.5,232
llama3,few,kk,OVERALL,0.5372549019607843,510
llama3,few,kk,V,0.5564516129032258,248
llama3,few,en,A,0.5333333333333333,30
llama3,few,en,N,0.5344827586206896,232
llama3,few,en,OVERALL,0.5352941176470588,510
llama3,few,en,V,0.5362903225806451,248
