model,prompt_mode,language,A,N,OVERALL,V
gemini1.5flash,zero,kk,63.33,58.62,60.2,61.29
gemini1.5flash,zero,en,60.0,61.21,61.57,62.1
gemini1.5flash,few,kk,70.0,66.81,66.27,65.32
gemini1.5flash,few,en,83.33,75.0,76.27,76.61
gemini1.5pro,zero,kk,70.0,70.26,68.82,67.34
gemini1.5pro,zero,en,66.67,66.81,66.67,66.53
gemini1.5pro,few,kk,80.0,78.88,75.88,72.58
gemini1.5pro,few,en,76.67,80.17,77.06,74.19
gpt3.5turbo,zero,kk,53.33,51.72,53.33,54.84
gpt3.5turbo,zero,en,50.0,47.84,48.82,49.6
gpt3.5turbo,few,kk,43.33,50.43,52.75,56.05
gpt3.5turbo,few,en,53.33,56.9,53.14,49.6
gpt4o,zero,kk,66.67,64.22,63.92,63.31
gpt4o,zero,en,66.67,65.52,67.25,68.95
gpt4o,few,kk,63.33,73.71,73.73,75.0
gpt4o,few,en,76.67,75.43,75.49,75.4
llama3,zero,kk,56.67,51.29,52.55,53.23
llama3,zero,en,56.67,53.88,54.51,54.84
llama3,few,kk,66.67,50.0,53.73,55.65
llama3,few,en,53.33,53.45,53.53,53.63
